127.0.0.1, 2015-05-13 17:28:42, GET, /, HTTP/1.1, 303, 0.918000
127.0.0.1, 2015-05-13 17:28:44, GET, /welcome/default/index, HTTP/1.1, 200, 1.641000
127.0.0.1, 2015-05-13 17:28:44, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-05-13 17:28:44, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-05-13 17:28:44, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-05-13 17:28:44, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-05-13 17:28:44, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-05-13 17:28:44, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-05-13 17:28:44, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-05-13 17:28:44, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2015-05-13 17:28:44, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-05-13 17:28:44, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-05-13 17:28:44, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-05-13 17:28:44, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-05-13 17:28:44, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-05-13 17:28:44, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-05-13 17:28:44, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-05-13 17:28:44, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-05-13 17:28:45, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-06-18 16:48:53, GET, /, HTTP/1.1, 303, 0.004000
127.0.0.1, 2015-06-18 16:48:55, GET, /welcome/default/index, HTTP/1.1, 200, 1.525000
127.0.0.1, 2015-06-18 16:48:55, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-06-18 16:48:55, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-06-18 16:48:55, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-06-18 16:48:55, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-06-18 16:48:55, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2015-06-18 16:48:55, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.012000
127.0.0.1, 2015-06-18 16:48:55, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2015-06-18 16:48:56, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.012000
127.0.0.1, 2015-06-18 16:48:56, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-06-18 16:48:56, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-06-18 16:48:56, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2015-06-18 16:48:56, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-06-18 16:48:56, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-06-18 16:48:57, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.008000
127.0.0.1, 2015-06-18 16:48:57, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.008000
127.0.0.1, 2015-06-18 16:48:57, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.008000
127.0.0.1, 2015-06-18 16:48:58, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-06-18 16:49:12, GET, /admin/default/index, HTTP/1.1, 200, 1.767000
127.0.0.1, 2015-06-18 16:49:12, GET, /admin/static/_2.10.4/js/jquery.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-06-18 16:49:12, GET, /admin/static/_2.10.4/js/calendar.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-06-18 16:49:12, GET, /admin/static/_2.10.4/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-06-18 16:49:12, GET, /admin/static/_2.10.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-06-18 16:49:12, GET, /admin/static/_2.10.4/js/web2py.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-06-18 16:49:12, GET, /admin/static/_2.10.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-06-18 16:49:12, GET, /admin/static/_2.10.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-06-18 16:49:12, GET, /admin/static/_2.10.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-06-18 16:49:12, GET, /admin/static/_2.10.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-06-18 16:49:12, GET, /admin/static/_2.10.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-06-18 16:49:12, GET, /admin/static/_2.10.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-06-18 16:49:12, GET, /admin/static/_2.10.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-06-18 16:49:12, GET, /admin/static/_2.10.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-06-18 16:49:12, GET, /admin/static/_2.10.4/images/questions.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-06-18 16:49:13, GET, /favicon.ico, HTTP/1.1, 400, 0.004000
127.0.0.1, 2015-06-18 16:49:17, POST, /admin/default/index, HTTP/1.1, 303, 0.092000
127.0.0.1, 2015-06-18 16:49:17, GET, /admin/default/site, HTTP/1.1, 200, 0.252000
127.0.0.1, 2015-06-18 16:49:17, GET, /admin/static/_2.10.4/images/folder_locked.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-06-18 16:49:18, GET, /admin/static/_2.10.4/images/folder.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-06-18 16:49:18, GET, /admin/static/_2.10.4/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-06-18 16:49:21, POST, /admin/default/check_version, HTTP/1.1, 200, 3.536000
127.0.0.1, 2015-06-18 16:49:32, GET, /favicon.ico, HTTP/1.1, 400, 0.004000
127.0.0.1, 2015-06-18 16:50:35, POST, /admin/default/site, HTTP/1.1, 303, 0.828000
127.0.0.1, 2015-06-18 16:50:35, GET, /admin/default/design/LEO, HTTP/1.1, 200, 0.496000
127.0.0.1, 2015-06-18 16:50:35, GET, /admin/static/_2.10.4/images/search.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-06-18 16:50:35, GET, /admin/static/_2.10.4/images/help.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-06-18 16:50:36, GET, /admin/static/_2.10.4/images/delete_icon.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-06-18 16:50:36, GET, /admin/static/_2.10.4/images/test_icon.png, HTTP/1.1, 200, 0.004000
